NAME,B19013_001E,B01003_001E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_011E,B01001_012E,B01001_035E,B01001_036E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,state
Georgia,74632,11029227,7448119,1585916,749619,182576,119684,246152,155815,79993,77037,222889,231291,146591,74544,71948,217943,367559,382001,367859,399198,360989,354385,330763,353385,378405,393137,353188,369373,322848,132634,190770,114506,151330,207419,344574,139214,208587,125140,173328,259341,13
Hawaii,95322,1435138,1024897,237228,93842,31833,16306,24284,15917,8080,8812,31877,23138,14704,8805,7724,20435,44221,51304,42386,47842,47299,50640,41004,42672,46918,47659,41130,42718,41319,19556,26306,18004,24374,37436,43584,16919,28068,20416,24940,41036,15
Idaho,74942,1964726,1305704,281799,96952,20652,20284,46380,28877,15168,16498,36345,42589,30472,14605,11443,39223,63860,67224,59881,63353,64658,65847,59295,56169,62107,66197,56153,53276,51495,23828,35611,20717,32873,47687,53105,24327,37059,24047,32640,49731,16
Illinois,80306,12549689,8710996,1983481,990218,221049,139626,257198,165712,78038,78869,257152,250302,154281,75639,74014,253361,414609,433403,408045,426167,416625,427890,381100,397062,415702,418187,383266,393380,378946,167142,234843,145412,195979,270011,384805,164793,259201,156716,219275,308211,17
Indiana,69477,6862199,4614970,882311,376078,73025,62984,149690,100553,52117,42948,149164,143504,92184,46030,44543,138784,220868,228980,216315,226697,218925,223188,201897,210364,220213,216453,194582,211660,201053,84165,129753,77377,107473,147527,206174,88337,133778,86606,119600,165738,18
Iowa,71433,3207004,2166425,452714,160651,35657,34478,67889,48548,24556,22211,69726,65025,44008,22545,18932,64506,100039,104038,97257,97292,98453,108437,93009,93216,100420,103103,88424,89717,92003,41270,63630,37231,53082,79060,90320,44725,66184,38269,57217,80364,19
Kansas,70333,2940547,1956252,438965,198335,37539,25874,67080,41893,23751,25241,68591,60247,41393,19647,18106,58909,97502,94213,92441,93672,95791,101346,81969,84185,94431,96233,80024,79482,79601,35399,54646,36706,45391,66073,78317,40026,58609,33478,49902,75440,20
Kentucky,61118,4526154,3107275,506856,256223,67687,34499,92100,54231,25380,30593,99892,87678,52712,26094,28687,89553,151239,153085,139858,151486,146941,139962,135537,142248,144509,138347,135851,142272,138311,57475,85447,47055,74003,106744,144446,67229,88264,63009,77122,116645,21
Louisiana,58229,4573749,3102893,525591,209154,61069,41704,97050,56675,32373,28590,85887,91035,57359,30557,31734,84245,140452,149595,140249,159169,152178,156066,128307,132753,151448,162841,132016,136090,122295,60965,88002,48461,72933,103774,143991,60775,91110,61699,78686,118310,22
Maine,73733,1395722,1039460,241654,101942,24218,16729,23928,16872,8551,6821,25491,22981,16205,6940,8493,21111,39829,43174,39975,45287,42748,44288,38100,45115,42772,45949,38835,46052,45403,22442,32192,18949,30863,40772,49620,20840,36719,23641,30458,45124,23
Maryland,98678,6180253,4297439,964064,647621,135906,132409,124585,78194,37955,37273,110698,120822,77994,32246,37541,111992,183553,208739,187392,212468,209411,206466,186230,190181,220486,214113,188895,202905,196832,81143,113884,68930,89834,127703,208469,86847,132787,75406,106754,157449,24
Massachusetts,99858,7001399,4975152,1261847,788243,157762,169357,131559,99848,44878,43963,148174,120535,105616,48099,48720,145510,237172,247786,235351,246137,237803,225104,198726,215510,242518,221962,205797,225120,222388,99344,136713,87190,111631,153282,231770,101866,151201,87511,127123,186342,25
